Name,Author,User Rating,Reviews,Price,Year,Genre,ficcao
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,1
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,1
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,1
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,0
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,1
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,0
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,0
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,0
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,0
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,0
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,0
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,0
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,0
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,1
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,1
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,1
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,1
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,0
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,1
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,1
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction,0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction,0
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,0
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,1
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,1
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,0
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,0
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,0
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,0
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,0
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,0
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,1
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,0
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,0
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,0
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,0
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,1
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,1
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,1
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,1
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,0
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,1
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,1
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,0
